date,z_300.0,z_400.0,z_500.0,q_300.0,q_400.0,q_500.0,crwc_300.0,crwc_400.0,crwc_500.0,t_300.0,t_400.0,t_500.0,u_300.0,u_400.0,u_500.0,v_300.0,v_400.0,v_500.0,u10,v10,d2m,t2m,sp,z,tp,ssrd,strd,sf
1940-02-18,94883.13,74258.414,57395.113,0.0004592044,0.0010236094,0.004031602,0.0,0.0,0.0,-31.573517,-15.538513,-5.408081,0.8696337,2.5134478,-0.64790016,-3.1801205,-0.17810206,1.8884077,-0.28221822,0.046575293,2.5091858,4.082245,61797.39,40786.863,0.91374445,2607076.8,4222561.0,2.6225462e-07
1940-02-19,94830.06,74220.805,57375.203,0.0005890074,0.0017705155,0.004166869,0.0,0.0,0.0,-31.63472,-15.931549,-5.707733,-4.61394,-0.42836836,0.9830541,-5.586489,-0.25485674,0.3682886,-0.1516174,0.12667704,2.6182556,4.418915,61787.703,40786.863,1.3277849,3392309.8,4379634.0,0.00038382708
1940-02-20,94816.125,74238.69,57356.285,0.00045075887,0.001796866,0.0041283714,0.0,0.0,0.0,-32.0298,-15.943756,-4.938141,-2.1232748,0.78598183,-0.21932705,-8.747156,-2.2018843,0.10766173,-0.5249202,-0.21061066,3.4752502,5.4405212,61759.047,40786.863,0.66113245,3103050.8,4485223.0,5.0060044e-07
1940-02-21,94812.02,74274.85,57444.645,0.0002515463,0.0008649822,0.0043106517,0.0,0.0,0.0,-32.535126,-16.553162,-5.5073853,6.095019,2.6288745,0.8378024,-4.0086813,-0.16472985,0.17106561,-0.0028794259,0.14177445,3.4823303,5.0417175,61837.34,40786.863,1.8686962,2810330.5,4330474.0,1.6688136e-07
1940-02-22,94823.46,74273.16,57492.426,0.00036397626,0.0007602318,0.0032099353,0.0,0.0,0.0,-31.217682,-17.15689,-6.08902,-0.22224943,0.9815963,0.8896341,-7.932085,-2.3046167,0.6190882,0.2839771,0.31582156,1.5279236,3.5205383,61874.49,40786.863,0.54272425,2849878.2,4185669.8,9.4179995e-07
1940-02-23,94813.13,74235.01,57461.746,0.00059098605,0.0019362442,0.0033700333,0.0,0.0,0.0,-31.0663,-17.297958,-6.2960205,-2.623904,-1.2342064,0.63889533,-9.526937,-5.8285127,-1.3960023,-0.041925073,-0.14901075,1.901825,4.4445496,61884.395,40786.863,1.1376827,3643254.2,4073165.0,7.1774994e-06
1940-02-24,94888.57,74277.945,57478.2,0.00056535006,0.0019045697,0.003916455,0.0,0.0,7.973237e-09,-31.291473,-16.662354,-6.113037,-2.9823086,-1.4016954,0.29666907,-13.208306,-11.247844,-5.3982353,-0.17771932,-0.067542374,3.4423523,4.7203674,61889.09,40786.863,1.4108957,2816985.8,4453972.5,0.00016398606
1940-02-25,94870.9,74295.87,57498.875,0.00022737884,0.0010485087,0.003206767,0.0,0.0,0.0,-31.517303,-16.792603,-5.671753,-3.385579,-0.96862173,0.92211366,-9.053602,-8.982127,-2.4704082,0.21372963,0.34281132,0.32608032,3.6512756,61866.402,40786.863,1.4092396,4059978.5,4077911.8,0.0006639182
1940-02-26,94840.87,74323.82,57530.324,0.00029743733,0.001284277,0.00291536,0.0,0.0,0.0,-32.20323,-17.193436,-5.4033813,-4.3296275,-0.2578446,0.37549737,-7.83378,-2.7974942,3.3490772,0.49555093,0.70102227,0.08383179,3.6054382,61876.715,40786.863,0.41166177,3818126.5,3943713.5,6.555565e-07
1940-02-27,94967.94,74383.35,57519.62,0.0005628664,0.0014010187,0.002488621,0.0,0.0,0.0,-32.001846,-16.110535,-4.4375305,-1.4696487,-0.9168599,-1.5532064,-4.2107167,0.7264443,2.914799,-0.0384299,0.0038396865,1.5701599,4.7236633,61855.242,40786.863,0.28795508,3517896.5,3823097.0,0.0
1940-02-28,94940.84,74371.15,57486.145,0.0006165946,0.001534339,0.0032990936,0.0,0.0,0.0,-31.843582,-16.323425,-4.268921,-1.6020504,2.906662,1.4996902,0.8250188,3.7441666,2.1138892,0.43790436,-0.018308908,3.2671814,5.3336487,61825.86,40786.863,0.29166427,2709980.5,4458623.0,3.5757694e-08
1940-02-29,94934.94,74356.01,57444.34,0.0005587902,0.0009329967,0.0017093265,0.0,0.0,0.0,-31.750046,-15.819031,-3.7426147,3.307558,4.593757,0.6461045,-0.58880585,3.7358367,3.9720774,0.78750145,0.37422055,0.4857483,4.375763,61785.867,40786.863,0.009441148,4127175.2,3840190.5,0.0
1940-03-01,94916.38,74318.586,57395.582,0.0004375989,0.00038922916,0.0014578764,0.0,0.0,0.0,-31.722626,-15.2901,-4.130005,4.970324,4.7782826,0.6774512,-0.93843335,2.8779566,2.5228567,0.9205861,0.5841473,-0.09915161,4.8335266,61785.832,40786.863,0.09239197,4101524.0,3796275.0,1.7878483e-07
1940-03-02,94843.664,74242.586,57322.434,0.0003113513,0.0002862155,0.0015338464,0.0,0.0,0.0,-31.798386,-15.30661,-4.055359,4.402992,4.9580483,-0.19469047,2.090807,2.324157,1.5276132,0.8777714,0.36750597,-1.0082092,4.3937683,61743.08,40786.863,0.1171019,4336521.0,3604941.8,1.4303077e-07
1940-03-03,94709.54,74111.4,57217.934,0.00010675057,0.00019026932,0.0019538992,0.0,0.0,0.0,-31.539932,-15.715332,-4.3738403,5.2037544,6.2877793,1.5606794,2.0021057,1.6452464,0.46316552,0.97127426,0.29749033,0.7707825,4.9825134,61666.637,40786.863,0.3277458,3665209.5,3950793.2,4.8864604e-07
1940-03-04,94590.02,73943.195,57085.06,5.7829497e-05,0.00016410156,0.0017116633,0.0,0.0,0.0,-30.59224,-15.565826,-4.8707886,3.1515808,6.8926435,0.71151465,2.9276974,4.773361,0.15389077,0.74585974,0.22305155,-0.098846436,3.735382,61584.5,40786.863,0.61949015,4035872.8,3665525.0,7.38979e-07
1940-03-05,94614.805,73915.516,57063.363,0.00011200749,0.00039660276,0.0021910514,0.0,0.0,0.0,-30.306915,-15.312195,-5.3652954,0.74700284,3.2378194,0.2230825,0.060994506,2.6112528,-2.1178532,0.43856594,0.18363053,0.9007263,4.146515,61563.453,40786.863,0.5486726,3820830.0,3830788.0,2.0263542e-07
1940-03-06,94710.414,73982.8,57129.418,0.00028193605,0.0006803526,0.0038290832,0.0,0.0,0.0,-29.969025,-14.803314,-6.0409546,0.8044102,-0.1546259,-1.6961662,-5.354942,-5.0771356,-4.802939,-0.26269037,-0.30302078,1.8234558,4.21579,61626.11,40786.863,1.0625557,3331172.5,4349269.5,4.856009e-05
1940-03-07,94830.69,74105.234,57257.902,0.0003162041,0.00069468655,0.003243291,0.0,0.0,0.0,-30.114044,-15.137146,-5.816803,0.13378102,2.0277507,-0.4499973,-2.0107114,-10.012551,-6.0510845,-0.43215668,-0.56296265,1.7420349,5.167267,61697.215,40786.863,0.55308455,3214622.5,4431284.5,1.1013355e-05
1940-03-08,94862.664,74178.805,57308.043,0.00040354332,0.0007945969,0.002619101,0.0,0.0,0.0,-31.055634,-15.030823,-5.2921753,0.050283223,1.953807,0.009356027,0.17098244,-3.6332512,-3.4419668,-0.5039218,-0.19642095,1.2771912,6.41745,61718.71,40786.863,0.21082503,3765206.8,4340370.0,5.363545e-07
1940-03-09,94886.6,74205.58,57294.01,0.00031229944,0.0007714914,0.003990686,0.0,0.0,0.0,-31.24965,-14.40152,-4.963562,1.0564226,-3.0486133,-2.6614096,-0.78377914,2.3300083,1.3842616,-0.43754232,-0.073220775,1.9570618,6.0071106,61701.734,40786.863,0.21592227,3387205.8,4099492.8,2.503075e-07
1940-03-10,94868.94,74188.37,57308.848,0.00025533102,0.001202187,0.003949269,0.0,0.0,0.0,-31.110947,-14.948517,-5.170532,1.299014,-5.236284,-3.2302017,-0.15570667,0.4276272,-1.2953981,-0.7664812,-0.41187185,2.4721375,5.6072693,61711.312,40786.863,0.41439527,3244325.2,4457093.5,1.0727672e-07
1940-03-11,94862.445,74235.73,57367.355,0.000586013,0.0016838125,0.004200157,0.0,0.0,0.0,-31.33162,-15.60199,-5.255554,-3.8251886,-2.0831769,-1.7955141,-3.830754,-1.7594894,-1.7604346,-0.4561677,-0.29158932,4.0798035,5.683136,61760.066,40786.863,1.6205267,3045084.8,4510433.0,0.00014749914
1940-03-12,94879.555,74216.586,57353.176,0.0005802587,0.0021102906,0.0045375214,0.0,0.0,0.0,-30.82785,-15.718567,-5.2421265,-2.4888546,-0.46101642,-0.040936142,-5.562099,-1.3048123,0.3908001,-0.41755402,-0.18655092,3.990326,5.087799,61748.406,40786.863,1.8022168,2778904.0,4524754.0,6.870006e-05
1940-03-13,94892.336,74215.65,57348.066,0.0005140742,0.0020487322,0.004368711,0.0,0.0,0.0,-30.679657,-15.45636,-5.4944763,-3.2682276,-2.707958,-1.4542028,-4.532706,-2.903658,-1.9414228,-0.3346101,-0.29937655,4.108673,5.221283,61773.86,40786.863,1.7403462,2842518.2,4536242.0,6.5331114e-05
1940-03-14,94907.87,74225.14,57368.01,0.00030472843,0.0013406585,0.003989318,0.0,0.0,0.0,-30.321274,-15.125,-5.630005,-2.244236,-2.693061,-0.7070794,-3.130574,-4.1340327,-2.4987917,-0.4655429,-0.46217024,2.4136047,5.5083313,61773.336,40786.863,0.422996,3752631.2,4182829.8,0.0
1940-03-15,94841.91,74197.14,57364.844,0.00040715924,0.0013669236,0.004601236,0.0,0.0,0.0,-31.092636,-15.705811,-5.7763977,-0.4750404,-0.7831383,-1.213647,-2.6736975,-2.0945618,0.33444634,-0.059201807,-0.06804195,4.1629333,5.8128357,61787.71,40786.863,2.0813036,2941608.5,4673956.5,4.940247e-05
1940-03-16,94879.625,74264.86,57404.105,0.0006047319,0.0017339048,0.004151081,0.0,0.0,5.278669e-10,-31.300156,-15.859741,-5.3749695,-0.67711323,0.60863227,-1.5878148,-1.6987969,-1.0376385,-1.9461697,-0.3925235,-0.06135182,3.4012146,5.438263,61799.5,40786.863,0.55634874,3023779.5,4297434.0,1.9238134e-05
1940-03-17,94982.56,74353.766,57512.14,0.0006418631,0.0019950394,0.0042192093,0.0,0.0,0.0,-31.327728,-16.130005,-5.506775,-2.143624,-1.8810407,-0.9375353,0.31898478,-2.0397718,-1.4083585,-0.3608259,-0.1849594,3.1231995,4.907013,61897.71,40786.863,3.416943,2858100.8,4546859.5,0.00083789695
